scenario_id,length,has_crash,noise_sigma,baseline_low,drift_min,drift_max,crash_start,ground_truth_crashed,threshold_alert_time,aump_alert_time@0.5,lead_time@0.5,false_alarm@0.5,aump_alert_time@0.6,lead_time@0.6,false_alarm@0.6,aump_alert_time@0.7,lead_time@0.7,false_alarm@0.7,aump_alert_time@0.8,lead_time@0.8,false_alarm@0.8,aump_alert_time@0.9,lead_time@0.9,false_alarm@0.9
88,30,True,1.0,65,0.7907554994250131,2.859616821024518,17,True,23.0,19.0,4.0,False,21.0,2.0,False,21.0,2.0,False,21.0,2.0,False,27.0,-4.0,False
89,30,True,2.0,75,0.46339240309944724,2.3063612547322188,10,False,,,,False,,,False,,,False,,,False,,,False
90,30,True,1.5,65,0.6531859808800342,2.2538225788491246,17,True,24.0,18.0,6.0,False,19.0,5.0,False,24.0,0.0,False,24.0,0.0,False,29.0,-5.0,False
91,30,True,1.0,70,0.7115866054699096,2.170735184464658,10,True,25.0,19.0,6.0,False,20.0,5.0,False,22.0,3.0,False,25.0,0.0,False,29.0,-4.0,False
92,30,True,2.5,70,0.40743245758870195,2.4531452478687923,17,False,,,,False,,,False,,,False,,,False,,,False
93,30,True,2.0,65,0.6521747393107292,2.4472138312170273,13,True,18.0,15.0,3.0,False,16.0,2.0,False,17.0,1.0,False,18.0,0.0,False,21.0,-3.0,False
94,30,False,1.0,75,0.6261797267167417,2.7403856678884417,-1,False,,,,False,,,False,,,False,,,False,,,False
95,30,True,2.5,70,0.5860869228536869,2.9174852548040997,17,True,23.0,18.0,5.0,False,18.0,5.0,False,18.0,5.0,False,20.0,3.0,False,23.0,0.0,False
96,30,False,2.5,75,0.7001074646218612,1.6777414389561094,-1,False,,,,False,,,False,,,False,,,False,,,False
97,30,True,1.0,75,0.3755547634199174,2.0583769302342145,21,False,,,,False,,,False,,,False,,,False,,,False
98,30,False,1.0,75,0.6405121182097937,1.5330953966206937,-1,False,,,,False,,,False,,,False,,,False,,,False
99,30,False,2.5,65,0.5492804549372577,2.6820457005537275,-1,False,,5.0,,True,5.0,,True,13.0,,True,13.0,,True,,,False
100,30,True,1.0,75,0.7259434349750644,2.399742324757178,18,False,,,,False,,,False,,,False,,,False,,,False
101,30,False,2.5,75,0.4616019190438149,2.158751545313254,-1,False,,,,False,,,False,,,False,,,False,,,False
